LEAID,ZIP,LAT,LON
0400766,85128,32.989066,-111.537421
0400767,85501,33.394567,-110.770936
0400768,85711,32.2332,-110.909211
0400769,85128,32.988861,-111.538563
0400770,85053,33.65142,-112.116111
0400771,85711,32.21514,-110.864811
0400772,86301,34.63058,-112.409881
0400773,85364,32.724138,-114.623756
0400774,85730,32.184273,-110.834009
0400775,85234,33.349425,-111.705001
0400776,85008,33.465354,-112.005594
0400777,85621,31.372263,-110.937543
0400778,85226,33.30704,-111.938571
0400779,85533,33.037662,-109.297068
0400780,85053,33.65142,-112.116111
0400781,85705,32.27188,-110.999481
0400782,86001,35.19569,-111.657991
0400783,85120,33.399654,-111.566192
0400784,86025,34.869952,-110.155924
0400785,85225,33.337025,-111.843837
0400786,85339,33.39498,-112.167071
0400787,85016,33.527109,-112.047952
0400788,85287,33.423291,-111.921142
0400789,85016,33.527109,-112.047952
0400790,85120,33.392997,-111.562624
0400792,85225,33.337025,-111.843837
0400793,85041,33.37686,-112.115528
0400794,86401,35.19055,-114.064991
0400796,85296,33.334857,-111.703334
0400797,85757,32.130577,-111.116997
0400798,85033,33.49183,-112.200211
0400799,85016,33.527109,-112.047952
0400800,85326,33.433642,-112.502515
0400801,85121,33.116527,-111.884641
0400802,85323,33.442572,-112.338229
0400803,85296,33.334857,-111.703334
0400805,85027,33.695278,-112.109925
0400807,85708,32.18176,-110.869466
0400810,85120,33.399654,-111.566192
0400811,60048,33.640426,-112.136724
0400813,86322,34.562775,-111.854231
0400814,85757,32.115879,-111.067171
0400815,85021,33.55947,-112.113081
0400816,85383,33.704113,-112.203955
0400817,85716,32.262261,-110.912281
0400818,85258,33.553063,-111.897369
0400819,85034,33.446648,-111.977644
0400820,86301,34.5509,-112.4718
0400821,85711,32.2332,-110.909211
0400822,85382,33.644077,-112.254612
0400823,85016,33.527109,-112.047952
0400824,85296,33.320628,-111.775635
0400827,85206,33.381673,-111.728053
0400828,85392,33.485749,-112.341575
0400829,85258,33.553063,-111.897369
0400830,85259,33.235577,-111.839123
0400831,85258,33.553063,-111.897369
0400832,85034,33.446648,-111.977644
0400833,85034,33.446648,-111.977644
0400834,85034,33.446648,-111.977644
0400835,85364,32.723477,-114.62113
0400836,85007,33.44756,-112.092381
0400837,85936,34.501845,-109.365022
0400838,86314,34.597896,-112.333545
0400839,85746,32.16132,-111.002041
0400840,85322,33.36117,-112.818041
0400841,85034,33.446648,-111.977644
0400842,85742,32.35969,-111.041421
0400843,85022,33.59384,-112.014065
0400844,86301,34.54284,-112.462211
0400845,85142,33.199,-111.6182
0400846,85042,33.379666,-111.997217
0400847,85138,33.450347,-112.324637
0400849,85040,33.395,-112.028491
0400850,85023,33.6207,-112.115121
0400851,85034,33.446648,-111.977644
0400852,85016,33.527109,-112.047952
0400853,85042,33.379666,-111.997217
0400855,85286,33.259907,-111.788346
0400857,85212,33.308667,-111.682045
0400858,85006,33.454094,-112.063964
0400859,85281,33.305321,-111.674406
0400861,85034,33.446648,-111.977644
0400862,85711,32.221132,-110.919342
0400863,85042,33.376066,-112.048294
0400864,85204,33.259509,-111.562234
0400866,85034,33.446648,-111.977644
0400867,85297,33.275263,-111.756274
0400868,85653,32.45429,-111.216591
0400870,85625,31.87679,-109.636521
0400871,85339,33.37495,-112.153121
0400872,85711,32.204679,-110.897134
0400873,85034,33.446648,-111.977644
0400875,85034,33.446648,-111.977644
0400876,85283,33.392871,-112.020696
0400877,85015,33.512945,-112.111101
0400878,85750,32.27288,-110.871231
0400879,85253,33.582221,-111.960952
0400880,85043,33.45289,-112.152651
0400881,85258,33.553063,-111.897369
0400882,85016,33.527109,-112.047952
0400884,85212,33.308667,-111.682045
0400885,85338,33.455261,-112.408765
0400886,85034,33.446648,-111.977644
0400887,85003,33.43949,-112.081829
0400888,85034,33.446648,-111.977644
0400890,85006,33.454094,-112.063964
0400891,85705,32.27188,-110.999481
0400892,85122,32.901236,-111.732415
0400893,85251,33.486988,-111.94024
0400894,85016,33.527109,-112.047952
0400895,85040,33.401921,-112.071424
0400897,85259,33.59064,-111.787991
0400898,85258,33.553063,-111.897369
0400899,85286,33.300384,-111.702522
0400900,85034,33.446648,-111.977644
0400902,85260,33.587521,-111.874885
0400903,86301,34.58979,-112.431641
0400904,85204,33.387587,-111.814937
0400905,85258,33.553063,-111.897369
0400907,85714,32.16896,-110.914901
0400909,85014,33.50129,-112.050022
0400910,86320,35.221057,-112.486224
0400911,85242,33.27735,-111.658477
0400912,85203,33.41402,-111.796161
0400913,85014,33.49609,-112.051421
0400914,85020,34.580748,-112.35806
0400915,85051,33.555053,-112.132395
0400916,85031,33.493309,-112.174038
0400918,85032,33.619966,-111.980411
0400919,85034,33.446648,-111.977644
0400920,85364,32.72349,-114.621241
0400921,85048,33.2986,-111.9789
0400922,86426,34.99,-114.597052
0400924,85033,33.493699,-112.200226
0400925,85034,33.446648,-111.977644
0400926,85339,33.377215,-112.149898
0400927,85140,33.25782,-111.574211
0400929,85209,33.515842,-111.890692
0400930,85034,33.446648,-111.977644
0400933,85379,33.60303,-112.372216
0400934,85014,33.494296,-112.050089
0400936,85248,33.234601,-111.842757
0400937,85259,33.590361,-111.788012
0400939,85040,33.401921,-112.071424
0400940,85033,33.50852,-112.202391
0400941,85258,33.553063,-111.897369
0400942,85302,33.56543,-112.153182
0400943,85258,33.553063,-111.897369
0400944,85743,32.347355,-111.096587
0400945,85015,33.526848,-112.111598
0400946,85287,33.423291,-111.921142
0400947,85193,32.88062,-111.844701
0400948,85306,33.61217,-112.201804
0400949,85326,33.424889,-112.583164
0400950,85006,33.472252,-112.065508
0400951,85383,33.685411,-112.227462
0400952,85016,33.527109,-112.047952
0400953,85122,32.882886,-111.720753
0400954,85225,33.333713,-111.825227
0400955,85043,33.412005,-112.178868
0400956,85281,33.423291,-111.921142
0400958,85258,33.553063,-111.897369
0400959,85037,33.502608,-112.271383
0400960,85323,33.434835,-112.352381
0400961,85041,33.394549,-112.100207
0400962,85286,33.363469,-111.602965
0400963,85383,33.719481,-112.270095
0400964,85020,33.523536,-112.117369
0400965,85281,33.423291,-111.921142
0400966,85379,33.613955,-112.395818
0400967,85028,33.59384,-112.014065
0400968,85033,33.490567,-112.19418
0400969,85202,33.388412,-111.864171
0400970,85019,33.52534,-112.150973
0400972,86305,34.62823,-112.410912
0400973,85603,31.411137,-109.877816
0400975,85040,33.407993,-111.988639
0400976,85041,33.481114,-112.129499
0400977,85282,33.403455,-111.892343
0400978,85305,33.553303,-112.240468
0400980,85260,33.62988,-111.918021
0400981,85710,32.207147,-110.8209
0400982,86025,34.869952,-110.155924
0400983,86301,34.541491,-112.466508
0400984,85603,31.432871,-109.871906
0400985,85132,33.041289,-111.376194
0400986,85009,33.429038,-112.12678
0400987,85338,33.451986,-112.379408
0400988,85395,33.477757,-112.342955
0400989,85143,33.422813,-111.558351
0400990,85018,33.508884,-112.02397
0400991,85338,33.423564,-112.405064
0400992,85053,33.639083,-112.050536
0400993,85225,33.340481,-111.842844
0400994,85209,33.379825,-111.660574
0400995,85306,33.636294,-112.167079
0400996,85388,33.59611,-112.430849
0400997,85037,33.502076,-112.269078
0400998,85138,33.042533,-112.015895
0400999,85234,33.359207,-111.692011
0401000,86321,34.574965,-113.183691
0401001,85281,33.414302,-111.913078
0401002,85022,33.614519,-112.059704
0401003,85041,33.37686,-112.115528
0401004,85383,33.77625,-111.926627
0401005,85016,33.527109,-112.047952
0401006,85286,33.451048,-111.751738
0401007,85286,33.653941,-112.119416
0401008,85286,32.190877,-110.794528
0401009,86040,36.92189,-111.459436
0401010,86326,34.733446,-112.010219
0401011,85338,33.50129,-112.050022
